Age,Gender,Driving_Experience,Vehicle_Type,Previous_Accidents,Region,Annual_Mileage,Premium,Accident
56,1,38,3,0,1,18524.70533245287,358.82695473090774,0
69,0,52,2,0,1,6495.82186456302,601.0538443665841,1
46,1,27,0,0,1,11184.105492551229,603.5599066921606,0
32,1,16,1,0,0,19590.90589154389,656.4464902862769,1
60,0,43,0,1,1,18183.21325599757,589.3892434684547,0
25,0,8,0,0,0,12569.923697283753,591.6970212781811,1
78,0,58,0,0,1,16985.34513259137,428.2580650398573,0
38,1,20,1,0,0,9009.213475722321,573.7028972055683,0
56,0,38,2,0,1,8464.958594551694,714.6827734839485,1
75,1,59,1,0,1,5000.0,444.7007841268898,1
36,0,17,1,1,0,19626.935036713894,378.20174889010514,1
40,1,24,1,0,1,14474.122649490006,514.0562472410626,1
28,0,11,0,2,1,15021.110598792953,593.7439715674593,1
28,0,11,0,0,0,5000.0,521.6511983182012,1
41,1,23,2,0,1,14751.831306652799,678.3771013293222,1
70,1,51,3,0,1,17755.27753957073,413.96188650244244,1
53,1,33,1,0,0,5000.0,348.44393316905206,1
57,1,38,1,0,1,15220.999591741285,642.9000707191537,1
41,1,24,3,1,0,14667.467273488037,359.20602923428356,1
20,1,0,0,0,1,12673.490805643683,531.7121257813832,1
39,0,20,2,0,1,21538.11396889527,640.1820985738726,1
70,1,51,1,0,0,20338.386399739626,521.6290905889654,0
19,0,0,1,0,1,30000.0,430.2086833633824,1
41,0,24,0,0,0,8935.362621618759,627.2290365889501,1
61,1,42,1,0,0,17143.207170507376,517.0783488488922,1
47,0,27,2,0,1,22499.365793140438,477.9126246869602,1
55,1,38,0,0,0,11539.024384965458,664.3507305404476,0
19,1,0,1,0,1,23456.279271579013,462.38544657534385,1
77,0,57,0,0,0,16824.519640063998,440.06625881276653,1
38,0,19,2,0,1,6266.517852776786,409.7260203168731,1
50,1,33,1,0,1,8570.636907471631,621.60414523083,0
29,1,10,2,0,0,12098.227295355515,542.7646315047612,1
75,0,59,0,0,1,14558.845002208003,451.25264772649416,1
39,0,23,0,0,1,21192.20516124617,356.101909000944,0
78,0,61,0,0,1,14551.650686070352,640.8722343284228,1
61,0,41,0,0,0,20996.467574271388,452.722367738464,0
42,1,23,0,0,1,15539.75824084679,318.08122769572503,1
66,1,47,1,0,1,15061.89834127052,508.7346226641874,1
